"<h2>emphatically</h2><a href=""https://www.vocabulary.com/dictionary/emphatically"">vocabulary</a>"^without question and beyond doubt <br><br> <div class="example">You will therefore permit me to repeat,  <strong>emphatically</strong>, that Marley was as dead as a door-nail.</div>  
"<h2>abject</h2><a href=""https://www.membean.com/mywords/abject"">membean</a> <a href=""https://www.vocabulary.com/dictionary/abject"">vocabulary</a>"^of the most contemptible kind <br><br> <div class="example">From the foldings of its robe, it brought two children; wretched,  <strong>abject</strong>, frightful, hideous, miserable.</div>  
"<h2>prostrate</h2><a href=""https://www.vocabulary.com/dictionary/prostrate"">vocabulary</a>"^stretched out and lying at full length along the ground <br><br> <div class="example">Yellow, meagre, ragged, scowling, wolfish; but  <strong>prostrate</strong>, too, in their humility.</div>  
"<h2>menacing</h2><a href=""https://www.vocabulary.com/dictionary/menacing"">vocabulary</a>"^threatening evil or danger <br><br> <div class="example">Where angels might have sat enthroned, devils lurked, and glared out  <strong>menacing</strong>.</div>  
"<h2>perversion</h2><a href=""https://www.vocabulary.com/dictionary/perversion"">vocabulary</a>"^the action of corrupting something  <br><br> <div class="example">No change, no degradation, no  <strong>perversion</strong> of humanity, in any grade, through all the mysteries of wonderful creation, has monsters half so horrible and dread.</div>  
"<h2>factious</h2><a href=""https://www.membean.com/mywords/factious"">membean</a> <a href=""https://www.vocabulary.com/dictionary/factious"">vocabulary</a>"^dissenting with the majority opinion <br><br> <div class="example">&#8220;Slander those who tell it ye! Admit it for your  <strong>factious</strong> purposes, and make it worse. And bide the end!&#8221;</div>  
"<h2>shroud</h2><a href=""https://www.vocabulary.com/dictionary/shroud"">vocabulary</a>"^cover as if with a burial garment <br><br> <div class="example">It was  <strong>shrouded</strong> in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.</div>  
"<h2>solemn</h2><a href=""https://www.vocabulary.com/dictionary/solemn"">vocabulary</a>"^dignified and somber in manner or character <br><br> <div class="example">He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a  <strong>solemn</strong> dread.</div>  
"<h2>wane</h2><a href=""https://www.membean.com/mywords/wane"">membean</a> <a href=""https://www.vocabulary.com/dictionary/wane"">vocabulary</a>"^decrease in phase <br><br> <div class="example">&#8220;Lead on!&#8221; said Scrooge. &#8220;Lead on! The night is  <strong>waning</strong> fast, and it is precious time to me, I know. Lead on, Spirit!&#8221;</div>  
"<h2>trifle</h2><a href=""https://www.membean.com/mywords/trifle"">membean</a> <a href=""https://www.vocabulary.com/dictionary/trifle"">vocabulary</a>"^waste time; spend one's time idly or inefficiently <br><br> <div class="example">But there they were, in the heart of it; on 'Change, amongst the merchants; who hurried up and down, and chinked the money in their pockets, and conversed in groups, and looked at their watches, and  <strong>trifled</strong> thoughtfully with their great gold seals; and so forth, as Scrooge had seen them often.</div>  
"<h2>disinterested</h2><a href=""https://www.membean.com/mywords/disinterested"">membean</a> <a href=""https://www.vocabulary.com/dictionary/disinterested"">vocabulary</a>"^unaffected by concern for one's own welfare <br><br> <div class="example">'Well, I am the most  <strong>disinterested</strong> among you, after all,' said the first speaker, 'for I never wear black gloves, and I never eat lunch.'</div>  
"<h2>esteem</h2><a href=""https://www.vocabulary.com/dictionary/esteem"">vocabulary</a>"^an attitude of admiration <br><br> <div class="example">He had made a point always of standing well in their  <strong>esteem</strong>: in a business point of view, that is; strictly in a business point of view.</div>  
"<h2>assure</h2><a href=""https://www.vocabulary.com/dictionary/assure"">vocabulary</a>"^cause to feel confident <br><br> <div class="example">Scrooge was at first inclined to be surprised that the Spirit should attach importance to conversations apparently so trivial; but feeling  <strong>assured</strong> that they must have some hidden purpose, he set himself to consider what it was likely to be.</div>  
"<h2>latent</h2><a href=""https://www.membean.com/mywords/latent"">membean</a> <a href=""https://www.vocabulary.com/dictionary/latent"">vocabulary</a>"^potentially existing but not presently evident or realized <br><br> <div class="example">But nothing doubting that to whomsoever they applied they had some  <strong>latent</strong> moral for his own improvement, he resolved to treasure up every word he heard, and everything he saw; and especially to observe the shadow of himself when it appeared.</div>  
"<h2>accustomed</h2><a href=""https://www.vocabulary.com/dictionary/accustomed"">vocabulary</a>"^commonly used or practiced; usual <br><br> <div class="example">He looked about in that very place for his own image; but another man stood in his  <strong>accustomed</strong> corner, and though the clock pointed to his usual time of day for being there, he saw no likeness of himself among the multitudes that poured in through the Porch.</div>  
"<h2>obscure</h2><a href=""https://www.vocabulary.com/dictionary/obscure"">vocabulary</a>"^remote and separate physically or socially <br><br> <div class="example">They left the busy scene, and went into an  <strong>obscure</strong> part of the town, where Scrooge had never penetrated before, although he recognised its situation, and its bad repute.</div>  
"<h2>slipshod</h2><a href=""https://www.vocabulary.com/dictionary/slipshod"">vocabulary</a>"^marked by great carelessness <br><br> <div class="example">The ways were foul and narrow; the shops and houses wretched; the people half-naked, drunken,  <strong>slipshod</strong>, ugly.</div>  
"<h2>straggle</h2><a href=""https://www.vocabulary.com/dictionary/straggle"">vocabulary</a>"^go, come, or spread in a rambling or irregular way <br><br> <div class="example">Alleys and archways, like so many cesspools, disgorged their offences of smell, and dirt, and life, upon the  <strong>straggling</strong> streets; and the whole quarter reeked with crime, with filth, and misery.</div>  
"<h2>offal</h2><a href=""https://www.vocabulary.com/dictionary/offal"">vocabulary</a>"^viscera and trimmings of a butchered animal <br><br> <div class="example">Far in this den of infamous resort, there was a low-browed, beetling shop, below a pent-house roof, where iron, old rags, bottles, bones, and greasy  <strong>offal</strong>, were bought.</div>  
"<h2>scrutinize</h2><a href=""https://www.vocabulary.com/dictionary/scrutinize"">vocabulary</a>"^look at critically or searchingly, or in minute detail <br><br> <div class="example">Secrets that few would like to  <strong>scrutinize</strong> were bred and hidden in mountains of unseemly rags, masses of corrupted fat, and sepulchers of bones.</div>  
"<h2>defiance</h2><a href=""https://www.vocabulary.com/dictionary/defiance"">vocabulary</a>"^a hostile challenge <br><br> <div class="example">While he did this, the woman who had already spoken threw her bundle on the floor, and sat down in a flaunting manner on a stool; crossing her elbows on her knees, and looking with a bold  <strong>defiance</strong> at the other two.</div>  
"<h2>breach</h2><a href=""https://www.membean.com/mywords/breach"">membean</a> <a href=""https://www.vocabulary.com/dictionary/breach"">vocabulary</a>"^an opening, especially a gap in a dike or fortification <br><br> <div class="example">But the gallantry of her friends would not allow of this; and the man in faded black, mounting the  <strong>breach</strong> first, produced his plunder.</div>  
"<h2>extensive</h2><a href=""https://www.vocabulary.com/dictionary/extensive"">vocabulary</a>"^broad in scope or content <br><br> <div class="example">It was not  <strong>extensive</strong>. A seal or two, a pencil-case, a pair of sleeve-buttons, and a brooch of no great value, were all.</div>  
"<h2>appraise</h2><a href=""https://www.vocabulary.com/dictionary/appraise"">vocabulary</a>"^estimate the nature, quality, ability or significance of <br><br> <div class="example">They were severally examined and  <strong>appraised</strong> by old Joe, who chalked the sums he was disposed to give for each, upon the wall, and added them up into a total when he found there was nothing more to come.</div>  
"<h2>repent</h2><a href=""https://www.vocabulary.com/dictionary/repent"">vocabulary</a>"^feel sorry for; be contrite about <br><br> <div class="example">&#8220;That&#8217;s your account. If you asked me for another penny, and made it an open question, I&#8217;d  <strong>repent</strong> of being so liberal and knock off half-a-crown.&#8221;</div>  
"<h2>detestation</h2><a href=""https://www.vocabulary.com/dictionary/detestation"">vocabulary</a>"^hate coupled with disgust <br><br> <div class="example">As they sat grouped about their spoil, in the scanty light afforded by the old man&#8217;s lamp, he viewed them with a  <strong>detestation</strong> and disgust, which could hardly have been greater, though they had been obscene demons, marketing the corpse itself.</div>  
"<h2>recoil</h2><a href=""https://www.vocabulary.com/dictionary/recoil"">vocabulary</a>"^draw back, as with fear or pain <br><br> <div class="example">He  <strong>recoiled</strong> in terror, for the scene had changed, and now he almost touched a bed: a bare, uncurtained bed: on which, beneath a ragged sheet, there lay a something covered up, which, though it was dumb, announced itself in awful language.</div>  
"<h2>bereft</h2><a href=""https://www.vocabulary.com/dictionary/bereft"">vocabulary</a>"^lacking or deprived of something <br><br> <div class="example">A pale light, rising in the outer air, fell straight upon the bed; and on it, plundered and  <strong>bereft</strong>, unwatched, unwept, uncared for, was the body of this man.</div>  
"<h2>disclose</h2><a href=""https://www.vocabulary.com/dictionary/disclose"">vocabulary</a>"^expose to view as by removing a cover <br><br> <div class="example">The cover was so carelessly adjusted that the slightest raising of it, the motion of a finger upon Scrooge's part, would have  <strong>disclosed</strong> the face.</div>  
"<h2>revered</h2><a href=""https://www.vocabulary.com/dictionary/revered"">vocabulary</a>"^profoundly honored <br><br> <div class="example">But of the loved,  <strong>revered</strong>, and honored head, thou canst not turn one hair to thy dread purposes, or make one feature odious.</div>  
"<h2>foremost</h2><a href=""https://www.vocabulary.com/dictionary/foremost"">vocabulary</a>"^before anything else <br><br> <div class="example">He thought, if this man could be raised up now, what would be his  <strong>foremost</strong> thoughts?</div>  
"<h2>beseech</h2><a href=""https://www.vocabulary.com/dictionary/beseech"">vocabulary</a>"^ask for or request earnestly <br><br> <div class="example">&#8220;If there is any person in the town, who feels emotion caused by this man&#8217;s death,&#8221; said Scrooge quite agonised, &#8220;show that person to me, Spirit, I  <strong>beseech</strong> you!&#8221;</div>  
"<h2>vain</h2><a href=""https://www.vocabulary.com/dictionary/vain"">vocabulary</a>"^unproductive of success <br><br> <div class="example">She was expecting some one, and with anxious eagerness; for she walked up and down the room; started at every sound; looked out from the window; glanced at the clock; tried, but in  <strong>vain</strong>, to work with her needle; and could hardly bear the voices of the children in their play.</div>  
"<h2>repress</h2><a href=""https://www.vocabulary.com/dictionary/repress"">vocabulary</a>"^conceal or hide <br><br> <div class="example">There was a remarkable expression in it now; a kind of serious delight of which he felt ashamed, and which he struggled to  <strong>repress</strong>.</div>  
"<h2>distress</h2><a href=""https://www.vocabulary.com/dictionary/distress"">vocabulary</a>"^cause mental pain to <br><br> <div class="example">Bob told them of the extraordinary kindness of Mr. Scrooge's nephew, whom he had scarcely seen but once, and who, meeting him in the street that day, and seeing that he looked a little -- 'just a little down you know,' said Bob, inquired what had happened to  <strong>distress</strong> him.</div>  
"<h2>replete</h2><a href=""https://www.membean.com/mywords/replete"">membean</a> <a href=""https://www.vocabulary.com/dictionary/replete"">vocabulary</a>"^fill to satisfaction <br><br> <div class="example">Walled in by houses; overrun by grass and weeds, the growth of vegetation&#8217;s death, not life; choked up with too much burying; fat with  <strong>repleted</strong> appetite.</div>  
"<h2>convey</h2><a href=""https://www.vocabulary.com/dictionary/convey"">vocabulary</a>"^take something or somebody with oneself somewhere <br><br> <div class="example">The Ghost of Christmas Yet To Come  <strong>conveyed</strong> him, as before -- though at a different time, he thought: indeed, there seemed no order in these latter visions, save that they were in the Future -- into the resorts of business men, but showed him not himself.</div>  
"<h2>persevere</h2><a href=""https://www.vocabulary.com/dictionary/persevere"">vocabulary</a>"^be persistent, refuse to stop <br><br> <div class="example">'Men's courses will foreshadow certain ends, to which, if  <strong>persevered</strong> in, they must lead,' said Scrooge.</div>  
"<h2>intercede</h2><a href=""https://www.vocabulary.com/dictionary/intercede"">vocabulary</a>"^act between parties with a view to reconciling differences <br><br> <div class="example">'Good Spirit,' he pursued, as down upon the ground he fell before it: 'Your nature  <strong>intercedes</strong> for me, and pities me.</div>  
"<h2>entreaty</h2><a href=""https://www.vocabulary.com/dictionary/entreaty"">vocabulary</a>"^earnest or urgent request <br><br> <div class="example">It sought to free itself, but he was strong in his  <strong>entreaty</strong>, and detained it.</div>  
"<h2>amends</h2><a href=""https://www.vocabulary.com/dictionary/amends"">vocabulary</a>"^something done or paid to make up for a wrong <br><br> <div class="example">Best and happiest of all, the Time before him was his own, to make  <strong>amends</strong> in!</div>  
"<h2>illustrious</h2><a href=""https://www.membean.com/mywords/illustrious"">membean</a> <a href=""https://www.vocabulary.com/dictionary/illustrious"">vocabulary</a>"^having or conferring glory <br><br> <div class="example">Really, for a man who had been out of practice for so many years, it was a splendid laugh, a most  <strong>illustrious</strong> laugh.</div>  
"<h2>portly</h2><a href=""https://www.vocabulary.com/dictionary/portly"">vocabulary</a>"^fairly fat <br><br> <div class="example">He had not gone far, when coming on towards him he beheld the  <strong>portly</strong> gentleman, who had walked into his counting-house the day before, and said, 'Scrooge and Marley's, I believe.'</div>  
"<h2>yield</h2><a href=""https://www.vocabulary.com/dictionary/yield"">vocabulary</a>"^give or supply <br><br> <div class="example">He went to church, and walked about the streets, and watched the people hurrying to and fro, and patted children on the head, and questioned beggars, and looked down into the kitchens of houses, and up to the windows, and found that everything could  <strong>yield</strong> him pleasure.</div>  
"<h2>array</h2><a href=""https://www.vocabulary.com/dictionary/array"">vocabulary</a>"^an impressive display or assortment <br><br> <div class="example">They were looking at the table (which was spread out in great  <strong>array</strong>); for these young housekeepers are always nervous on such points, and like to see that everything is right.</div>  
"<h2>unanimity</h2><a href=""https://www.vocabulary.com/dictionary/unanimity"">vocabulary</a>"^everyone being of one mind <br><br> <div class="example">Wonderful party, wonderful games, wonderful  <strong>unanimity</strong>, wonderful happiness!</div>  
"<h2>feign</h2><a href=""https://www.membean.com/mywords/feign"">membean</a> <a href=""https://www.vocabulary.com/dictionary/feign"">vocabulary</a>"^make believe with the intent to deceive <br><br> <div class="example">'Hallo!' growled Scrooge, in his accustomed voice, as near as he could  <strong>feign</strong> it.</div>  
"<h2>earnestness</h2><a href=""https://www.vocabulary.com/dictionary/earnestness"">vocabulary</a>"^a sincere feeling <br><br> <div class="example">&#8220;A merry Christmas, Bob!&#8221; said Scrooge, with an  <strong>earnestness</strong> that could not be mistaken, as he clapped him on the back.</div>  
"<h2>endeavor</h2><a href=""https://www.vocabulary.com/dictionary/endeavor"">vocabulary</a>"^attempt by employing effort <br><br> <div class="example">I'll raise your salary, and  <strong>endeavor</strong> to assist your struggling family, and we will discuss your affairs this very afternoon, over a Christmas bowl of smoking bishop, Bob!</div>  
"<h2>abstinence</h2><a href=""https://www.membean.com/mywords/abstinence"">membean</a> <a href=""https://www.vocabulary.com/dictionary/abstinence"">vocabulary</a>"^act or practice of refraining from indulging an appetite <br><br> <div class="example">He had no further intercourse with Spirits, but lived upon the Total  <strong>Abstinence</strong> Principle, ever afterwards; and it was always said of him, that he knew how to keep Christmas well, if any man alive possessed the knowledge.</div>  
